Place,Novice,Gender,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
95,,Undefined,Tiffany Yuan,Hopkins YZ,13,463,77.2,74,80,76,79,78,76,0,0,0
95,,Undefined,Audrey Cooper,King's CL,10,463,77.2,76,76,79,78,76,78,0,0,0
95,,Undefined,Niroop Rajashekar,USC LR,9,463,77.2,78,76,76,77,80,76,0,0,0
95,,Undefined,Bronte Baker-Blake,Bard BC,9,463,77.2,81,77,74,78,75,78,0,0,0
95,,Undefined,Jackie Li,Stanford LW,11,463,77.2,81,76,72,78,78,78,0,0,0
95,,Undefined,Pranav Shankar,Berkeley WS,10,463,77.2,79,78,76,77,75,78,0,0,0
95,,Undefined,John Hunt,Harvard HY,9,463,77.2,78,77,75,78,77,78,0,0,0
95,,Undefined,Denny Lee,Cornell RL,14,463,77.2,75,79,75,76,78,80,0,0,0
95,,Undefined,Lloyd Lyall,Stanford GL,12,463,77.2,77,78,76,78,78,76,0,0,0
104,,Undefined,Mark Sinclair,Queen's DS,9,462,77,80,76,76,80,77,73,0,0,0
104,,Undefined,Patrick Holland,Swarthmore DH,11,462,77,76,77,79,77,77,76,0,0,0
104,,Undefined,Alex von Stange,Vermont VQ,9,462,77,75,77,77,78,75,80,0,0,0
104,,Undefined,Salil Mitra,Duke FM,11,462,77,72,80,79,78,76,77,0,0,0
104,,Undefined,Mishal Ashraf,McGill HA,12,462,77,75,77,76,75,80,79,0,0,0
104,,Undefined,Eddie Jones,Swarthmore HJ,12,462,77,78,76,79,74,79,76,0,0,0
104,,Undefined,Sam Huang,Bates HM,12,462,77,76,80,74,77,78,77,0,0,0
111,,Undefined,Sandy Greenberg,Brown GH,8,461,76.8,78,77,78,76,76,76,0,0,0
111,,Undefined,Hamza Hashim,Swarthmore HJ,12,461,76.8,78,75,79,75,78,76,0,0,0
111,,Undefined,Ksenia Podvoiskaia,Queen's DP,11,461,76.8,78,78,75,77,78,75,0,0,0
111,,Undefined,Tejal_ Patwardhan,Harvard AP,10,461,76.8,73,77,77,79,79,76,0,0,0
111,,Undefined,Abhiroop Lohia,Cornell YL,9,461,76.8,73,78,79,77,77,77,0,0,0
111,,Undefined,Samantha Malone,Bates WM,10,461,76.8,79,76,75,77,77,77,0,0,0
111,,Undefined,Tabraiz Lodhi,Vassar LP,10,461,76.8,80,77,77,75,77,75,0,0,0
111,,Undefined,Sissi Li Zhou,Northeastern SZ,11,461,76.8,78,76,78,76,77,76,0,0,0
111,,Undefined,Mike Stone,Bates SZ,8,461,76.8,74,80,74,81,75,77,0,0,0
120,,Undefined,Shiloh Sumanthiran,Swarthmore SW,10,460,76.7,76,77,78,77,76,76,0,0,0
120,,Undefined,Kiana Saint-Macary,McGill BS,10,460,76.7,77,74,76,76,80,77,0,0,0
120,,Undefined,Alexander Beaumont,McGill BS,10,460,76.7,78,75,74,76,79,78,0,0,0
120,,Undefined,Tomás Esteve,Columbia DE,9,460,76.7,78,77,75,78,78,74,0,0,0
120,,Undefined,Lauren Pauls,Denver MP,10,460,76.7,77,79,78,75,72,79,0,0,0
125,,Undefined,Dan Driscoll,Columbia DE,9,459,76.5,78,77,74,77,80,73,0,0,0
125,,Undefined,Amanda Ngo,HWS MN,11,459,76.5,73,78,76,77,77,78,0,0,0
125,,Undefined,Natasha Moolji,Stanford LM,8,459,76.5,78,74,76,75,81,75,0,0,0
125,,Undefined,Stephanie Wu,Penn KW,10,459,76.5,79,72,79,73,77,79,0,0,0
125,,Undefined,Grayson Logue,King's CL,10,459,76.5,74,75,77,77,77,79,0,0,0
125,,Undefined,Sam Wang,Swarthmore SW,10,459,76.5,76,77,76,76,78,76,0,0,0
125,,Undefined,Jeffrey Li,Hart House LZ,10,459,76.5,74,76,77,77,78,77,0,0,0
132,,Undefined,Marina Shew,Clemson KS,10,458,76.3,75,80,74,77,78,74,0,0,0
132,,Undefined,Rachael Savage,Clemson SS,11,458,76.3,74,75,80,78,79,72,0,0,0
132,,Undefined,Tezzy Nhlengethwa,Brown DN,9,458,76.3,78,74,76,75,79,76,0,0,0
132,,Undefined,Aditya Jayakrishnan,Swarthmore JK,10,458,76.3,80,76,72,79,75,76,0,0,0
132,,Undefined,Danny Haidar,Columbia HC,10,458,76.3,78,75,76,78,77,74,0,0,0
132,,Undefined,Cameron Comrie,Harvard CY,11,458,76.3,79,76,76,76,76,75,0,0,0
132,,Undefined,Marley Xiong,McGill XK,10,458,76.3,76,77,76,77,78,74,0,0,0
132,,Undefined,Nate Foster,Louisiana Tech MF,8,458,76.3,81,78,76,75,75,73,0,0,0
132,,Undefined,Dennis Su,Northeastern SS,9,458,76.3,79,79,76,73,75,76,0,0,0
141,,Undefined,Anastasios Angelopoulos,Stanford AF,11,457,76.2,76,77,75,76,76,77,0,0,0
141,,Undefined,Emily Hu,Stanford HK,8,457,76.2,73,78,78,75,81,72,0,0,0
141,,Undefined,Anish Anandaram,GWU AL,9,457,76.2,75,76,75,77,75,79,0,0,0
